"A","278-B1","","","","","","","","","","","3091","","It is required that separate transaction sets be used for different patients."
"C","278-B1","6","1700","NM1","09","","","","","2","1700","","F","Patient Event Provider Identifier"
"B","278-B1","6","1800","","","","","","","2","1800","3101","E","REF*1G*123456~"
"B","278-B1","6","1800","","","","","","","2","1800","3498","A","Patient Event Provider Supplemental Identification"
"B","278-B1","6","1800","","","","","","","2","1800","3499","","Use the NM1 segment for the primary identifier."
"B","278-B1","6","1800","","","","","","","2","1800","3758","","Required on or after the mandated implementation date for the HIPAA National Provider Identifier (NPI) when the provider is not a specialty entity and the NPI is not reported in NM109 of this loop and another identifier is available to the submitter.<R>OR<R>Required prior to the mandated NPI implementation date when an additional identification number to the NPI provided in NM109 of this loop is necessary for the UMO to identify the patient event provider (2010E) service provider (2010F).<R>OR<R>Required prior to the mandated NPI implementation date when necessary for the UMO to identify the patient event provider (2010E) service provider (2010F).<R>If not required by this implementation guide, do not send."
"C","278-B1","6","1800","REF","01","","","","","2","1800","","F","Reference Identification Qualifier"
"E","278-B1","6","1800","REF","01","","","128","EI","2","1800","3200","","Not used if NM108 = 24."
"E","278-B1","6","1800","REF","01","","","128","SY","2","1800","3296","","The social security number may not be used for Medicare. Not used if NM108 = 34."
"E","278-B1","6","1800","REF","01","","","128","ZH","2","1800","3735","","Use when the requestor has not been assigned an NPI, or NPI is not mandated for use and the UMO identified in loop 2010A has assigned its own identifier for this provider."
"C","278-B1","6","1800","REF","02","","","","","2","1800","","F","Patient Event Provider Supplemental Identifier"
"C","278-B1","6","1800","REF","03","","","","","2","1800","3500","D","Required when REF01 = 0B to report the two character state ID of the state assigning the State License Number. If not required by this implementation guide, do not send."
"C","278-B1","6","1800","REF","03","","","","","2","1800","","F","License Number State Code"
"B","278-B1","6","2000","","","","","","","2","2000","3112","E","N3*77 HOLLY BLVD~"
"B","278-B1","6","2000","","","","","","","2","2000","3501","A","Patient Event Provider Address"
"B","278-B1","6","2000","","","","","","","2","2000","3736","","Required when identifying a specific location for a patient event provider that has multiple locations. If not required, may be provided at the sender's discretion."
"C","278-B1","6","2000","N3","01","","","","","2","2000","3667","","Use this element for the first line of the patient event provider's address."
"C","278-B1","6","2000","N3","01","","","","","2","2000","","F","Patient Event Provider Address Line"
"C","278-B1","6","2000","N3","02","","","","","2","2000","3192","D","Required when a second address line exists. If not required by this implementation guide, do not send."
"C","278-B1","6","2000","N3","02","","","","","2","2000","","F","Patient Event Provider Address Line"
"B","278-B1","6","2100","","","","","","","2","2100","3691","E","N4*KANSAS CITY*MO*64108~"
"B","278-B1","6","2100","","","","","","","2","2100","3778","A","Patient Event Provider City, State, ZIP Code"
"B","278-B1","6","2100","","","","","","","2","2100","3779","","Required when identifying a specific location for a patient event provider that has multiple locations. If not required, may be provided at the sender's discretion."
"C","278-B1","6","2100","N4","01","","","","","2","2100","","F","Patient Event Provider City Name"
"C","278-B1","6","2100","N4","02","","","","","2","2100","3692","D","Required when the address is in the United States of America, including its territories, or Canada. If not required by this implementation guide, do not send."
"C","278-B1","6","2100","N4","02","","","","","2","2100","","F","Patient Event Provider State or Province Code"
"C","278-B1","6","2100","N4","03","","","","","2","2100","3693","D","Required when the address is in the United States of America, including its territories, or Canada, or when a postal code exists for the country in N404. If not required by this implementation guide, do not send."
"C","278-B1","6","2100","N4","03","","","","","2","2100","","F","Patient Event Provider Postal Zone or ZIP Code"
"C","278-B1","6","2100","N4","04","","","","","2","2100","3202","D","Required when the address is outside the United States of America. If not required by this implementation guide, do not send."
"C","278-B1","6","2100","N4","04","","","","","2","2100","3694","","Use the alpha-2 country codes from Part 1 of ISO 3166."
"C","278-B1","6","2100","N4","04","","","","","2","2100","","F","Country Code"
"C","278-B1","6","2100","N4","07","","","","","2","2100","3695","D","Required when the address is not in the United States of America, including its territories, or Canada, and the country in N404 has administrative subdivisions such as but not limited to states, provinces, cantons, etc. If not required by this implementation guide, do not send."
"C","278-B1","6","2100","N4","07","","","","","2","2100","3696","","Use the country subdivision codes from Part 2 of ISO 3166."
"C","278-B1","6","2100","N4","07","","","","","2","2100","","F","Country Subdivision Code"
"B","278-B1","6","2200","","","","","","","2","2200","3114","E","PER*IC*M TUCKER*TE*8189993456*FX*8185551212~"
"B","278-B1","6","2200","","","","","","","2","2200","3275","","When the communication number represents a telephone number in the United States and other countries using the North American Dialing Plan (for voice, data, fax, etc.), the communication number should always include the area code and telephone number using the format AAABBBCCCC. Where AAA is the area code, BBB is the telephone number prefix, and CCCC is the telephone number (e.g. (534)224-2525 would be represented as 5342242525). The extension, when applicable, should be included in the communication number immediately after the telephone number."
"B","278-B1","6","2200","","","","","","","2","2200","3502","A","Patient Event Provider Contact Information"
"B","278-B1","6","2200","","","","","","","2","2200","3503","","Required when needed to identify a contact name and/or communications number for the provider. If not required by this implementation guide, may be provided at the sender's discretion but cannot be required by the receiver."
"C","278-B1","6","2200","PER","01","","","","","2","2200","","F","Contact Function Code"
"C","278-B1","6","2200","PER","02","","","","","2","2200","3504","D","Required when the Information Source needs to indicate a particular contact and the name of the individual to contact is not already defined or is different than the name within the prior name segment (e.g. N1 or NM1). If not required by this implementation guide, do not send."
"C","278-B1","6","2200","PER","02","","","","","2","2200","","F","Patient Event Provider Contact Name"
"C","278-B1","6","2200","PER","03","","","","","2","2200","3737","D","Required when PER02 is not valued or when the Information Source needs to transmit a contact communication number. If not required by this implementation guide, do not send."
"C","278-B1","6","2200","PER","03","","","","","2","2200","","F","Communication Number Qualifier"
"C","278-B1","6","2200","PER","04","","","","","2","2200","3737","D","Required when PER02 is not valued or when the Information Source needs to transmit a contact communication number. If not required by this implementation guide, do not send."
"C","278-B1","6","2200","PER","04","","","","","2","2200","","F","Patient Event Provider Contact Communications Number"
"C","278-B1","6","2200","PER","05","","","","","2","2200","3506","D","Required when a telephone extension or multiple communication types are available. If not required by this implementation guide, do not send."
"C","278-B1","6","2200","PER","05","","","","","2","2200","","F","Communication Number Qualifier"
"E","278-B1","6","2200","PER","05","","","365","EX","2","2200","3233","","When used, the value following this code is the extension for the preceding communications contact number."
"C","278-B1","6","2200","PER","06","","","","","2","2200","3506","D","Required when a telephone extension or multiple communication types are available. If not required by this implementation guide, do not send."
"C","278-B1","6","2200","PER","06","","","","","2","2200","","F","Patient Event Provider Contact Communications Number"
"C","278-B1","6","2200","PER","07","","","","","2","2200","3506","D","Required when a telephone extension or multiple communication types are available. If not required by this implementation guide, do not send."
"C","278-B1","6","2200","PER","07","","","","","2","2200","","F","Communication Number Qualifier"
"E","278-B1","6","2200","PER","07","","","365","EX","2","2200","3233","","When used, the value following this code is the extension for the preceding communications contact number."
"C","278-B1","6","2200","PER","08","","","","","2","2200","3506","D","Required when a telephone extension or multiple communication types are available. If not required by this implementation guide, do not send."
"C","278-B1","6","2200","PER","08","","","","","2","2200","","F","Patient Event Provider Contact Communications Number"
"B","278-B1","6","2300","","","","","","","2","2300","3368","E","AAA*N**43~"
"B","278-B1","6","2300","","","","","","","2","2300","3507","A","Patient Event Provider Request Validation"
"B","278-B1","6","2300","","","","","","","2","2300","3508","","Required when this is a notification of a health care services review that was rejected due to invalid or missing service provider information. If not required by this implementation guide, do not send."
"C","278-B1","6","2300","AAA","01","","","","","2","2300","","F","Valid Request Indicator"
"C","278-B1","6","2300","AAA","03","","","","","2","2300","","F","Reject Reason Code"
"E","278-B1","6","2300","AAA","03","","","901","15","2","2300","3509","","Use when data is missing that is not covered by another reject reason code. Use to indicate when there is not enough information to identify the provider."
"E","278-B1","6","2300","AAA","03","","","901","33","2","2300","3370","","Use for input errors not covered by another reject reason code."
"E","278-B1","6","2300","AAA","03","","","901","52","2","2300","3510","","Use for patient event dates."
"E","278-B1","6","2300","AAA","03","","","901","79","2","2300","3371","","Use for invalid/missing service provider supplemental identifier."
"B","278-B1","6","2400","","","","","","","2","2400","3434","E","PRV*PE*PXC*203BS0133X~"
"B","278-B1","6","2400","","","","","","","2","2400","3511","A","Patient Event Provider Information"
"B","278-B1","6","2400","","","","","","","2","2400","3738","","Required when the notification is for services of a specialist or specialty entity to indicate the provider's specialty. If not required by this implementation guide, may be provided a the sender's discretion but cannot be required by the receiver."
"C","278-B1","6","2400","PRV","01","","","","","2","2400","","F","Provider Code"
"E","278-B1","6","2400","PRV","01","","","1221","AD","2","2400","3512","","Use only when NM101 = AAJ."
"E","278-B1","6","2400","PRV","01","","","1221","AS","2","2400","3513","","Use only when NM101 = DD."
"E","278-B1","6","2400","PRV","01","","","1221","AT","2","2400","3514","","Use only when NM101 = 71."
"E","278-B1","6","2400","PRV","01","","","1221","OP","2","2400","3515","","Use only when NM101 = 72."
"E","278-B1","6","2400","PRV","01","","","1221","OR","2","2400","3516","","Use only when NM101 = DK."
"E","278-B1","6","2400","PRV","01","","","1221","OT","2","2400","3517","","Use only when NM101 = 73."
"E","278-B1","6","2400","PRV","01","","","1221","PC","2","2400","3518","","Use only when NM101 = P3."
"E","278-B1","6","2400","PRV","01","","","1221","PE","2","2400","3519","","Use only when NM101 = SJ."
"E","278-B1","6","2400","PRV","01","","","1221","RF","2","2400","3520","","Use only when NM101 = DN."
"C","278-B1","6","2400","PRV","02","","","","","2","2400","","F","Reference Identification Qualifier"
"C","278-B1","6","2400","PRV","03","","","","","2","2400","","F","Provider Taxonomy Code"
"B","278-B1","6","3000","","","","","","","2","1700","3315","","Required when additional information is sent by an information contact that is different from the information source identified in loop 2010A. If not required by this implementation guide, do not send."
"B","278-B1","6","3000","","","","","","","2","1700","3521","A","Additional Patient Information Contact Name"
"B","278-B1","6","3000","","","","","","","2","1700","3522","E","NM1*L5*2*ACME THIRD PARTY ADMINISTRATOR~"
"C","278-B1","6","3000","NM1","01","","","","","2","1700","","F","Entity Identifier Code"
"C","278-B1","6","3000","NM1","02","","","","","2","1700","","F","Entity Type Qualifier"
"E","278-B1","6","3000","NM1","02","","","1065","1","2","1700","3523","","Use this name only if the destination is an individual, such as an individual primary care physician."
"C","278-B1","6","3000","NM1","03","","","","","2","1700","3524","D","Required when the information source needs to identify the destination by name. If not required by this implementation guide, do not send."
"C","278-B1","6","3000","NM1","03","","","","","2","1700","","F","Response Contact Last or Organization Name"
"C","278-B1","6","3000","NM1","04","","","","","2","1700","3525","D","Required when NM103 is valued and the destination is an individual (NM102 = 1). If not required by this implementation guide, do not send."
"C","278-B1","6","3000","NM1","04","","","","","2","1700","","F","Response Contact First Name"
"C","278-B1","6","3000","NM1","05","","","","","2","1700","3526","D","Required when NM104 is valued and the middle name/initial of the individual is known. If not required by this implementation guide, do not send."
"C","278-B1","6","3000","NM1","05","","","","","2","1700","","F","Response Contact Middle Name"
"C","278-B1","6","3000","NM1","07","","","","","2","1700","3527","D","Required when NM104 is valued and the suffix of the individual's name; e.g. Sr., Jr., or III., is known. If not required by this implementation guide, do not send."
"C","278-B1","6","3000","NM1","07","","","","","2","1700","","F","Response Contact Name Suffix"
"C","278-B1","6","3000","NM1","08","","","","","2","1700","3528","D","Required when the information source needs to identify the destination. If not required by this implementation guide, do not send."
"C","278-B1","6","3000","NM1","08","","","","","2","1700","","F","Identification Code Qualifier"
"E","278-B1","6","3000","NM1","08","","","66","PI","2","1700","3529","","Use until the National PlanID is mandated if the destination is a payer."
"E","278-B1","6","3000","NM1","08","","","66","XV","2","1700","3530","","Use if the destination is a payer."
"E","278-B1","6","3000","NM1","08","","","66","XX","2","1700","3531","","Use if the destination is a provider."
"C","278-B1","6","3000","NM1","09","","","","","2","1700","3532","D","Required when NM108 is used. If not required by this implementation guide, do not send."
"C","278-B1","6","3000","NM1","09","","","","","2","1700","","F","Response Contact Identifier"
"B","278-B1","6","3100","","","","","","","2","2000","3533","A","Additional Patient Information Contact Address"
"B","278-B1","6","3100","","","","","","","2","2000","3534","E","N3*43 SUNRISE BLVD*SUITE 1000~"
"B","278-B1","6","3100","","","","","","","2","2000","3535","","Required when the request for additional patient information must be routed to a specific office location. If not required by this implementation guide, do not send."
"C","278-B1","6","3100","N3","01","","","","","2","2000","3201","","Use this element for the first line of the requester's address."
"C","278-B1","6","3100","N3","01","","","","","2","2000","","F","Response Contact Address Line"
"C","278-B1","6","3100","N3","02","","","","","2","2000","3192","D","Required when a second address line exists. If not required by this implementation guide, do not send."
"C","278-B1","6","3100","N3","02","","","","","2","2000","","F","Response Contact Address Line"
"B","278-B1","6","3150","","","","","","","2","2100","3691","E","N4*KANSAS CITY*MO*64108~"
"B","278-B1","6","3150","","","","","","","2","2100","3780","A","Additional Patient Information City, State, ZIP Code"
"B","278-B1","6","3150","","","","","","","2","2100","3781","","Required when the request for additional patient information must be routed to a specific office location. If not required by this implementation guide, do not send."
"C","278-B1","6","3150","N4","01","","","","","2","2100","","F","Additional Patient Information Contact City Name"
"C","278-B1","6","3150","N4","02","","","","","2","2100","3692","D","Required when the address is in the United States of America, including its territories, or Canada. If not required by this implementation guide, do not send."
"C","278-B1","6","3150","N4","02","","","","","2","2100","","F","Additional Patient Information Contact State Code"
"C","278-B1","6","3150","N4","03","","","","","2","2100","3693","D","Required when the address is in the United States of America, including its territories, or Canada, or when a postal code exists for the country in N404. If not required by this implementation guide, do not send."
"C","278-B1","6","3150","N4","03","","","","","2","2100","","F","Additional Patient Information Contact Postal Zone or ZIP Code"
"C","278-B1","6","3150","N4","04","","","","","2","2100","3202","D","Required when the address is outside the United States of America. If not required by this implementation guide, do not send."
"C","278-B1","6","3150","N4","04","","","","","2","2100","3694","","Use the alpha-2 country codes from Part 1 of ISO 3166."
"C","278-B1","6","3150","N4","04","","","","","2","2100","","F","Country Code"
"C","278-B1","6","3150","N4","07","","","","","2","2100","3695","D","Required when the address is not in the United States of America, including its territories, or Canada, and the country in N404 has administrative subdivisions such as but not limited to states, provinces, cantons, etc. If not required by this implementation guide, do not send."
"C","278-B1","6","3150","N4","07","","","","","2","2100","3696","","Use the country subdivision codes from Part 2 of ISO 3166."
"C","278-B1","6","3150","N4","07","","","","","2","2100","","F","Country Subdivision Code"
"B","278-B1","6","3200","","","","","","","2","2200","3275","","When the communication number represents a telephone number in the United States and other countries using the North American Dialing Plan (for voice, data, fax, etc.), the communication number should always include the area code and telephone number using the format AAABBBCCCC. Where AAA is the area code, BBB is the telephone number prefix, and CCCC is the telephone number (e.g. (534)224-2525 would be represented as 5342242525). The extension, when applicable, should be included in the communication number immediately after the telephone number."
"B","278-B1","6","3200","","","","","","","2","2200","3277","","By definition of the standard, if PER03 is used, PER04 is required."
"B","278-B1","6","3200","","","","","","","2","2200","3539","A","Additional Patient Information Contact Information"
"B","278-B1","6","3200","","","","","","","2","2200","3540","E","PER*IC*MARY*FX*3135551212~"
"B","278-B1","6","3200","","","","","","","2","2200","3541","","Required when the request for additional patient information must be routed to a specific contact, electronic mail, facsimile, or phone number. If not required by this implementation guide, do not send."
"C","278-B1","6","3200","PER","01","","","","","2","2200","","F","Contact Function Code"
"C","278-B1","6","3200","PER","02","","","","","2","2200","3416","D","Required when the response must be directed to a particular contact and the name of the individual to contact is not already defined or is different than the name within the prior name segment (e.g. N1 or NM1). If not required by this implementation guide, do not send."
"C","278-B1","6","3200","PER","02","","","","","2","2200","","F","Response Contact Name"
"C","278-B1","6","3200","PER","03","","","","","2","2200","3505","D","Required when the Information Source needs to indicate a particular contact telephone number versus the PER02. If not required by this implementation guide, do not send."
"C","278-B1","6","3200","PER","03","","","","","2","2200","","F","Communication Number Qualifier"
"E","278-B1","6","3200","PER","03","","","365","UR","2","2200","3542","","Must not contain any characters used as delimiters in this transaction."
"C","278-B1","6","3200","PER","04","","","","","2","2200","3417","D","Required when PER02 is not valued to transmit a contact communication number. If not required by this implementation guide, do not send."
"C","278-B1","6","3200","PER","04","","","","","2","2200","","F","Response Contact Communication Number"
"C","278-B1","6","3200","PER","05","","","","","2","2200","3506","D","Required when a telephone extension or multiple communication types are available. If not required by this implementation guide, do not send."
"C","278-B1","6","3200","PER","05","","","","","2","2200","","F","Communication Number Qualifier"
"C","278-B1","6","3200","PER","06","","","","","2","2200","3506","D","Required when a telephone extension or multiple communication types are available. If not required by this implementation guide, do not send."
"C","278-B1","6","3200","PER","06","","","","","2","2200","","F","Response Contact Communication Number"
"C","278-B1","6","3200","PER","07","","","","","2","2200","3506","D","Required when a telephone extension or multiple communication types are available. If not required by this implementation guide, do not send."
"C","278-B1","6","3200","PER","07","","","","","2","2200","","F","Communication Number Qualifier"
"C","278-B1","6","3200","PER","08","","","","","2","2200","3506","D","Required when a telephone extension or multiple communication types are available. If not required by this implementation guide, do not send."
"C","278-B1","6","3200","PER","08","","","","","2","2200","","F","Response Contact Communication Number"
"B","278-B1","6","3500","","","","","","","2","1700","3543","A","Patient Event Transport Information"
"B","278-B1","6","3500","","","","","","","2","1700","3544","E","NM1*PW*2*PATIENT DIALYSIS CENT~
NM1*FS*2~"
"B","278-B1","6","3500","","","","","","","2","1700","3545","","Required when Health Care Service Review is requesting transport of the patient. If not required by this implementation guide, do not send."
"B","278-B1","6","3500","","","","","","","2","1700","3739","","At least two iterations of this loop are necessary to indicate the pick;up address, NM101 = PW, and the final scheduled destination, NM101 = FS."
"B","278-B1","6","3500","","","","","","","2","1700","3740","","When the transport includes more than one destination, the following NM101 values are used to determine the sequence of stops:
a. ND is used to indicate the first stop
b. R3 is used to indicate the second stop
c. 45 is used to indicate the third stop"
"C","278-B1","6","3500","NM1","01","","","","","2","1700","","F","Entity Identifier Code"
"C","278-B1","6","3500","NM1","02","","","","","2","1700","","F","Entity Type Qualifier"
"C","278-B1","6","3500","NM1","03","","","","","2","1700","3741","D","Required when the name of the location for which the patient is being transported is known. If not required by this implementation, do not send."
"C","278-B1","6","3500","NM1","03","","","","","2","1700","","F","Patient Event Provider Transport Location Name"
"B","278-B1","6","3600","","","","","","","2","2000","3112","E","N3*77 HOLLY BLVD~"
"B","278-B1","6","3600","","","","","","","2","2000","3546","A","Patient Event Transport Location Address"
"C","278-B1","6","3600","N3","01","","","","","2","2000","3547","","Use this element for the first line of the transport location address."
"C","278-B1","6","3600","N3","01","","","","","2","2000","","F","Patient Event Provider Transport Location Address Line"
"C","278-B1","6","3600","N3","02","","","","","2","2000","3192","D","Required when a second address line exists. If not required by this implementation guide, do not send."
"C","278-B1","6","3600","N3","02","","","","","2","2000","","F","Patient Event Provider Transport Location Address Line"
"B","278-B1","6","3650","","","","","","","2","2100","3113","E","N4*HOLLYWOOD*CA*90214~"
"B","278-B1","6","3650","","","","","","","2","2100","3548","A","Patient Event Transport Location City/State/ZIP Code"
"C","278-B1","6","3650","N4","01","","","","","2","2100","3742","D","Required when N403 is not valued. If not required by this implementation guide, may be provided at the sender's discretion but cannot be required by the receiver."
"C","278-B1","6","3650","N4","01","","","","","2","2100","","F","Patient Event Transport Location City Name"
"C","278-B1","6","3650","N4","02","","","","","2","2100","3742","D","Required when N403 is not valued. If not required by this implementation guide, may be provided at the sender's discretion but cannot be required by the receiver."
"C","278-B1","6","3650","N4","02","","","","","2","2100","","F","Patient Event Transport Location State or Province Code"
"C","278-B1","6","3650","N4","03","","","","","2","2100","3743","D","Required when N401 and N402 are not valued. If not required by this implementation guide, may be provided at the sender's discretion but cannot be required by the receiver."
"C","278-B1","6","3650","N4","03","","","","","2","2100","","F","Patient Event Transport Location Postal Zone or ZIP Code"
"B","278-B1","6","3900","","","","","","","2","2300","3508","","Required when this is a notification of a health care services review that was rejected due to invalid or missing service provider information. If not required by this implementation guide, do not send."
"B","278-B1","6","3900","","","","","","","2","2300","3549","A","Patient Event Transport Information Request Validation"
"B","278-B1","6","3900","","","","","","","2","2300","3698","E","AAA*N**47*C~"
"C","278-B1","6","3900","AAA","01","","","","","2","2300","","F","Valid Request Indicator"
"C","278-B1","6","3900","AAA","03","","","","","2","2300","3631","D","Required when AAA01 = ""N"". If not required by this implementation guide, do not send."
"C","278-B1","6","3900","AAA","03","","","","","2","2300","","F","Reject Reason Code"
"E","278-B1","6","3900","AAA","03","","","901","15","2","2300","3550","","Use when data is missing that is not covered by another reject reason code. Use to indicate when there is not enough information to identify the transport information."
"E","278-B1","6","3900","AAA","03","","","901","33","2","2300","3370","","Use for input errors not covered by another reject reason code."
"E","278-B1","6","3900","AAA","03","","","901","47","2","2300","3551","","Use to code to indicate that the transport location state is invalid or missing."
"E","278-B1","6","3900","AAA","03","","","901","97","2","2300","3552","","Use this code to indicate that the transport location address is invalid or missing."
"C","278-B1","6","3900","AAA","04","","","","","2","2300","","F","Follow-up Action Code"
"B","278-B1","6","4000","","","","","","","2","1700","3759","A","Patient Event Other UMO Name"
"B","278-B1","6","4000","","","","","","","2","1700","3760","","Required when Health Care Services Review has been denied by another UMO. If not required by this implementation guide, do not send."
"B","278-B1","6","4000","","","","","","","2","1700","3789","E","NM1*CA*2~"
"C","278-B1","6","4000","NM1","01","","","","","2","1700","","F","Entity Identifier Code"
"E","278-B1","6","4000","NM1","01","","","98","00","2","1700","3784","","Use this code to indate that the other UMO is commerical insurance."
"E","278-B1","6","4000","NM1","01","","","98","CA","2","1700","3785","","Use this code to indicate that the other UMO is Medicare Part B."
"E","278-B1","6","4000","NM1","01","","","98","GG","2","1700","3786","","Use this code to indicate that the other UMO is Medicare Part A."
"C","278-B1","6","4000","NM1","02","","","","","2","1700","","F","Entity Type Qualifier"
"C","278-B1","6","4000","NM1","03","","","","","2","1700","3761","D","Required when NM101 is equal to ""00"" to indicate the name of the other UMO. If not required by this implementation guide, do not send."
"C","278-B1","6","4000","NM1","03","","","","","2","1700","","F","Other UMO Name"
"B","278-B1","6","4050","","","","","","","2","1800","3762","A","Other UMO Denial Reason"
"B","278-B1","6","4050","","","","","","","2","1800","3763","E","REF*ZZ*0M~"
"C","278-B1","6","4050","REF","01","","","","","2","1800","","F","Reference Identification Qualifier"
"E","278-B1","6","4050","REF","01","","","128","ZZ","2","1800","3765","","Use ZZ to indicate Health Care Service Review Decision Reason Code from Code Source 886."
"C","278-B1","6","4050","REF","02","","","","","2","1800","","F","Other UMO Denial Reason"
"C","278-B1","6","4050","REF","04","","","","","2","1800","3764","D","Required when the Health Care Services Review was denied by other UMO for more than one reason. If not required by this implementation guide, do not send."
"D","278-B1","6","4050","REF","04","C040","01","","","2","1800","","F","Reference Identification Qualifier"
"E","278-B1","6","4050","REF","04","C040","01","128","ZZ","2","1800","3765","","Use ZZ to indicate Health Care Service Review Decision Reason Code from Code Source 886."
"D","278-B1","6","4050","REF","04","C040","02","","","2","1800","","F","Other UMO Denial Reason"
"D","278-B1","6","4050","REF","04","C040","03","","","2","1800","3766","D","Required when the other UMO denied the request for more than two reasons. If not required by this implementation guide, do not send."
"D","278-B1","6","4050","REF","04","C040","03","","","2","1800","","F","Reference Identification Qualifier"
"E","278-B1","6","4050","REF","04","C040","03","128","ZZ","2","1800","3765","","Use ZZ to indicate Health Care Service Review Decision Reason Code from Code Source 886."
"D","278-B1","6","4050","REF","04","C040","04","","","2","1800","3766","D","Required when the other UMO denied the request for more than two reasons. If not required by this implementation guide, do not send."
"D","278-B1","6","4050","REF","04","C040","04","","","2","1800","","F","Other UMO Denial Reason"
"D","278-B1","6","4050","REF","04","C040","05","","","2","1800","3787","D","Required when the other UMO denied the request for more than three reasons. If not required by this implementation guide, do not send."
"D","278-B1","6","4050","REF","04","C040","05","","","2","1800","","F","Reference Identification Qualifier"
"E","278-B1","6","4050","REF","04","C040","05","128","ZZ","2","1800","3765","","Use ZZ to indicate Health Care Service Review Decision Reason Code from Code Source 886."
"D","278-B1","6","4050","REF","04","C040","06","","","2","1800","3787","D","Required when the other UMO denied the request for more than three reasons. If not required by this implementation guide, do not send."
"D","278-B1","6","4050","REF","04","C040","06","","","2","1800","","F","Reference Identification"
"B","278-B1","6","4400","","","","","","","2","2700","3767","A","Other UMO Denial Date"
"B","278-B1","6","4400","","","","","","","2","2700","3768","E","DTP*598*D8*20050516~"
"C","278-B1","6","4400","DTP","01","","","","","2","2700","","F","Date Time Qualifier"
"C","278-B1","6","4400","DTP","02","","","","","2","2700","","F","Date Time Period Format Qualifier"
"C","278-B1","6","4400","DTP","03","","","","","2","2700","","F","Other UMO Denial Date"
"B","278-B1","7","0100","","","","","","","2","0100","3115","E","HL*6*5*SS*0~"
"B","278-B1","7","0100","","","","","","","2","0100","3152","A","Service Level"
"B","278-B1","7","0100","","","","","","","2","0100","3304","","Required when identifying specific services associated with this patient event. If not required by this implementation guide, do not send."
"B","278-B1","7","0100","","","","","","","2","0100","3553","","This segment identifies the service(s) and conveys the review outcome related to that service(s)."
"C","278-B1","7","0100","HL","01","","","","","2","0100","","F","Hierarchical ID Number"
"C","278-B1","7","0100","HL","02","","","","","2","0100","","F","Hierarchical Parent ID Number"
"C","278-B1","7","0100","HL","03","","","","","2","0100","","F","Hierarchical Level Code"
"C","278-B1","7","0100","HL","04","","","","","2","0100","","F","Hierarchical Child Code"
"B","278-B1","7","0200","","","","","","","2","0200","3178","A","Service Trace Number"
"B","278-B1","7","0200","","","","","","","2","0200","3234","E","TRN*1*111099*9012345678*RADIOLOGY~"
"B","278-B1","7","0200","","","","","","","2","0200","3316","","This enables the requester to
<195> uniquely identify this service line request
<195> trace the request
<195> match the response to the request
<195> reference this request in any associated attachments containing additional service information related to this service line request."
"B","278-B1","7","0200","","","","","","","2","0200","3627","","Required when the requester needs to assign a unique trace number to the service line request. If not required by this implementation guide, may be provided at the sender's discretion, but cannot be required by the receiver."
"B","278-B1","7","0200","","","","","","","2","0200","3235","","If the transaction is routed through a clearinghouse, the clearinghouse may add their own TRN segment. If the transaction passes through multiple clearinghouses, and the second clearinghouse needs to assign their own TRN segment, they must replace the TRN from the first clearinghouse and retain it to be returned in the 278 response. If the second clearinghouse does not need to assign a TRN segment, they should pass all received TRN segments."
"B","278-B1","7","0200","","","","","","","2","0200","3744","","Each trace number provided in the TRN segment at this level on the request must be returned by the UMO in the TRN segment at the corresponding level of the response."
"B","278-B1","7","0200","","","","","","","2","0200","3628","","If the request contains more than one occurrence of Loop 2000F and the requester needs to uniquely identify each service level request this TRN segment is required in each Service loop."
"C","278-B1","7","0200","TRN","01","","","","","2","0200","","F","Trace Type Code"
"E","278-B1","7","0200","TRN","01","","","481","1","2","0200","3621","","The term ""Current Transaction Trace Number"" refers to the trace number assigned by the creator of the 278 notification transaction (the information source)."
"E","278-B1","7","0200","TRN","01","","","481","2","2","0200","3440","","The term ""Referenced Transaction Trace Number"" refers to the trace number originally sent in the 278 notification transaction."
"C","278-B1","7","0200","TRN","02","","","","","2","0200","","F","Service Trace Number"
"C","278-B1","7","0200","TRN","03","","","","","2","0200","3441","","Use this element to identify the organization that assigned this trace number. If TRN01 is <169>2<170>, this is the value received in the original 278 notification transaction. If TRN01 is <169>1<170>, use this information to identify the UMO organization that assigned this trace number."
"C","278-B1","7","0200","TRN","03","","","","","2","0200","3237","","The first position must be either a <169>1<170> if an EIN is used, a <169>3<170> if a DUNS is used or a <169>9<170> if a user assigned identifier is used."
"C","278-B1","7","0200","TRN","03","","","","","2","0200","","F","Trace Assigning Entity Identifier"
"C","278-B1","7","0200","TRN","04","","","","","2","0200","3629","D","Required when necessary to further identify a specific component, such as a specific division or group, of the company identified in the previous data element (TRN03). If not required by this implementation guide, do not send."
"C","278-B1","7","0200","TRN","04","","","","","2","0200","","F","Trace Assigning Entity Additional Identifier"
"B","278-B1","7","0300","","","","","","","2","0300","3372","A","Service Request Validation"
"B","278-B1","7","0300","","","","","","","2","0300","3373","E","AAA*N**52~"
"B","278-B1","7","0300","","","","","","","2","0300","3374","","If the non-certification is related to a medical necessity/benefits decision, use the HCR segment."
"B","278-B1","7","0300","","","","","","","2","0300","3630","","Required when this is a notification of a health care services review that was rejected due to invalid or missing service information. If not required by this implementation guide, do not send."
"C","278-B1","7","0300","AAA","01","","","","","2","0300","","F","Valid Request Indicator"
