"A","278-B2","","","","","","","","","","","3790","","It is required that separate transaction sets be used for different patients."
"D","278-B2","6","0800","HI","02","C022","03","","","2","0800","4222","D","Required when valued on the notification and the notification is not valid at this level. If not required by this implementation guide, do not send."
"D","278-B2","6","0800","HI","02","C022","03","","","2","0800","","F","Date Time Period Format Qualifier"
"D","278-B2","6","0800","HI","02","C022","04","","","2","0800","4222","D","Required when valued on the notification and the notification is not valid at this level. If not required by this implementation guide, do not send."
"D","278-B2","6","0800","HI","02","C022","04","","","2","0800","","F","Diagnosis Date"
"C","278-B2","6","0800","HI","03","","","","","2","0800","3840","B","Diagnosis 3"
"C","278-B2","6","0800","HI","03","","","","","2","0800","4222","D","Required when valued on the notification and the notification is not valid at this level. If not required by this implementation guide, do not send."
"D","278-B2","6","0800","HI","03","C022","01","","","2","0800","","F","Diagnosis Type Code"
"D","278-B2","6","0800","HI","03","C022","02","","","2","0800","","F","Diagnosis Code"
"D","278-B2","6","0800","HI","03","C022","03","","","2","0800","4222","D","Required when valued on the notification and the notification is not valid at this level. If not required by this implementation guide, do not send."
"D","278-B2","6","0800","HI","03","C022","03","","","2","0800","","F","Date Time Period Format Qualifier"
"D","278-B2","6","0800","HI","03","C022","04","","","2","0800","4222","D","Required when valued on the notification and the notification is not valid at this level. If not required by this implementation guide, do not send."
"D","278-B2","6","0800","HI","03","C022","04","","","2","0800","","F","Diagnosis Date"
"C","278-B2","6","0800","HI","04","","","","","2","0800","3886","B","Diagnosis 4"
"C","278-B2","6","0800","HI","04","","","","","2","0800","4222","D","Required when valued on the notification and the notification is not valid at this level. If not required by this implementation guide, do not send."
"D","278-B2","6","0800","HI","04","C022","01","","","2","0800","","F","Diagnosis Type Code"
"D","278-B2","6","0800","HI","04","C022","02","","","2","0800","","F","Diagnosis Code"
"D","278-B2","6","0800","HI","04","C022","03","","","2","0800","4222","D","Required when valued on the notification and the notification is not valid at this level. If not required by this implementation guide, do not send."
"D","278-B2","6","0800","HI","04","C022","03","","","2","0800","","F","Date Time Period Format Qualifier"
"D","278-B2","6","0800","HI","04","C022","04","","","2","0800","4222","D","Required when valued on the notification and the notification is not valid at this level. If not required by this implementation guide, do not send."
"D","278-B2","6","0800","HI","04","C022","04","","","2","0800","","F","Diagnosis Date"
"C","278-B2","6","0800","HI","05","","","","","2","0800","3887","B","Diagnosis 5"
"C","278-B2","6","0800","HI","05","","","","","2","0800","4222","D","Required when valued on the notification and the notification is not valid at this level. If not required by this implementation guide, do not send."
"D","278-B2","6","0800","HI","05","C022","01","","","2","0800","","F","Diagnosis Type Code"
"D","278-B2","6","0800","HI","05","C022","02","","","2","0800","","F","Diagnosis Code"
"D","278-B2","6","0800","HI","05","C022","03","","","2","0800","4222","D","Required when valued on the notification and the notification is not valid at this level. If not required by this implementation guide, do not send."
"D","278-B2","6","0800","HI","05","C022","03","","","2","0800","","F","Date Time Period Format Qualifier"
"D","278-B2","6","0800","HI","05","C022","04","","","2","0800","4222","D","Required when valued on the notification and the notification is not valid at this level. If not required by this implementation guide, do not send."
"D","278-B2","6","0800","HI","05","C022","04","","","2","0800","","F","Diagnosis Date"
"C","278-B2","6","0800","HI","06","","","","","2","0800","3888","B","Diagnosis 6"
"C","278-B2","6","0800","HI","06","","","","","2","0800","4222","D","Required when valued on the notification and the notification is not valid at this level. If not required by this implementation guide, do not send."
"D","278-B2","6","0800","HI","06","C022","01","","","2","0800","","F","Diagnosis Type Code"
"D","278-B2","6","0800","HI","06","C022","02","","","2","0800","","F","Diagnosis Code"
"D","278-B2","6","0800","HI","06","C022","03","","","2","0800","4222","D","Required when valued on the notification and the notification is not valid at this level. If not required by this implementation guide, do not send."
"D","278-B2","6","0800","HI","06","C022","03","","","2","0800","","F","Date Time Period Format Qualifier"
"D","278-B2","6","0800","HI","06","C022","04","","","2","0800","4222","D","Required when valued on the notification and the notification is not valid at this level. If not required by this implementation guide, do not send."
"D","278-B2","6","0800","HI","06","C022","04","","","2","0800","","F","Diagnosis Date"
"C","278-B2","6","0800","HI","07","","","","","2","0800","3889","B","Diagnosis 7"
"C","278-B2","6","0800","HI","07","","","","","2","0800","4222","D","Required when valued on the notification and the notification is not valid at this level. If not required by this implementation guide, do not send."
"D","278-B2","6","0800","HI","07","C022","01","","","2","0800","","F","Diagnosis Type Code"
"D","278-B2","6","0800","HI","07","C022","02","","","2","0800","","F","Diagnosis Code"
"D","278-B2","6","0800","HI","07","C022","03","","","2","0800","4222","D","Required when valued on the notification and the notification is not valid at this level. If not required by this implementation guide, do not send."
"D","278-B2","6","0800","HI","07","C022","03","","","2","0800","","F","Date Time Period Format Qualifier"
"D","278-B2","6","0800","HI","07","C022","04","","","2","0800","4222","D","Required when valued on the notification and the notification is not valid at this level. If not required by this implementation guide, do not send."
"D","278-B2","6","0800","HI","07","C022","04","","","2","0800","","F","Diagnosis Date"
"C","278-B2","6","0800","HI","08","","","","","2","0800","3890","B","Diagnosis 8"
"C","278-B2","6","0800","HI","08","","","","","2","0800","4222","D","Required when valued on the notification and the notification is not valid at this level. If not required by this implementation guide, do not send."
"D","278-B2","6","0800","HI","08","C022","01","","","2","0800","","F","Diagnosis Type Code"
"D","278-B2","6","0800","HI","08","C022","02","","","2","0800","","F","Diagnosis Code"
"D","278-B2","6","0800","HI","08","C022","03","","","2","0800","4222","D","Required when valued on the notification and the notification is not valid at this level. If not required by this implementation guide, do not send."
"D","278-B2","6","0800","HI","08","C022","03","","","2","0800","","F","Date Time Period Format Qualifier"
"D","278-B2","6","0800","HI","08","C022","04","","","2","0800","4222","D","Required when valued on the notification and the notification is not valid at this level. If not required by this implementation guide, do not send."
"D","278-B2","6","0800","HI","08","C022","04","","","2","0800","","F","Diagnosis Date"
"C","278-B2","6","0800","HI","09","","","","","2","0800","3891","B","Diagnosis 9"
"C","278-B2","6","0800","HI","09","","","","","2","0800","4222","D","Required when valued on the notification and the notification is not valid at this level. If not required by this implementation guide, do not send."
"D","278-B2","6","0800","HI","09","C022","01","","","2","0800","","F","Diagnosis Type Code"
"D","278-B2","6","0800","HI","09","C022","02","","","2","0800","","F","Diagnosis Code"
"D","278-B2","6","0800","HI","09","C022","03","","","2","0800","4222","D","Required when valued on the notification and the notification is not valid at this level. If not required by this implementation guide, do not send."
"D","278-B2","6","0800","HI","09","C022","03","","","2","0800","","F","Date Time Period Format Qualifier"
"D","278-B2","6","0800","HI","09","C022","04","","","2","0800","4222","D","Required when valued on the notification and the notification is not valid at this level. If not required by this implementation guide, do not send."
"D","278-B2","6","0800","HI","09","C022","04","","","2","0800","","F","Diagnosis Date"
"C","278-B2","6","0800","HI","10","","","","","2","0800","3892","B","Diagnosis 10"
"C","278-B2","6","0800","HI","10","","","","","2","0800","4222","D","Required when valued on the notification and the notification is not valid at this level. If not required by this implementation guide, do not send."
"D","278-B2","6","0800","HI","10","C022","01","","","2","0800","","F","Diagnosis Type Code"
"D","278-B2","6","0800","HI","10","C022","02","","","2","0800","","F","Diagnosis Code"
"D","278-B2","6","0800","HI","10","C022","03","","","2","0800","4222","D","Required when valued on the notification and the notification is not valid at this level. If not required by this implementation guide, do not send."
"D","278-B2","6","0800","HI","10","C022","03","","","2","0800","","F","Date Time Period Format Qualifier"
"D","278-B2","6","0800","HI","10","C022","04","","","2","0800","4222","D","Required when valued on the notification and the notification is not valid at this level. If not required by this implementation guide, do not send."
"D","278-B2","6","0800","HI","10","C022","04","","","2","0800","","F","Diagnosis Date"
"C","278-B2","6","0800","HI","11","","","","","2","0800","3893","B","Diagnosis 11"
"C","278-B2","6","0800","HI","11","","","","","2","0800","4222","D","Required when valued on the notification and the notification is not valid at this level. If not required by this implementation guide, do not send."
"D","278-B2","6","0800","HI","11","C022","01","","","2","0800","","F","Diagnosis Type Code"
"D","278-B2","6","0800","HI","11","C022","02","","","2","0800","","F","Diagnosis Code"
"D","278-B2","6","0800","HI","11","C022","03","","","2","0800","4222","D","Required when valued on the notification and the notification is not valid at this level. If not required by this implementation guide, do not send."
"D","278-B2","6","0800","HI","11","C022","03","","","2","0800","","F","Date Time Period Format Qualifier"
"D","278-B2","6","0800","HI","11","C022","04","","","2","0800","4222","D","Required when valued on the notification and the notification is not valid at this level. If not required by this implementation guide, do not send."
"D","278-B2","6","0800","HI","11","C022","04","","","2","0800","","F","Diagnosis Date"
"C","278-B2","6","0800","HI","12","","","","","2","0800","3894","B","Diagnosis 12"
"C","278-B2","6","0800","HI","12","","","","","2","0800","4222","D","Required when valued on the notification and the notification is not valid at this level. If not required by this implementation guide, do not send."
"D","278-B2","6","0800","HI","12","C022","01","","","2","0800","","F","Diagnosis Type Code"
"D","278-B2","6","0800","HI","12","C022","02","","","2","0800","","F","Diagnosis Code"
"D","278-B2","6","0800","HI","12","C022","03","","","2","0800","4222","D","Required when valued on the notification and the notification is not valid at this level. If not required by this implementation guide, do not send."
"D","278-B2","6","0800","HI","12","C022","03","","","2","0800","","F","Date Time Period Format Qualifier"
"D","278-B2","6","0800","HI","12","C022","04","","","2","0800","4222","D","Required when valued on the notification and the notification is not valid at this level. If not required by this implementation guide, do not send."
"D","278-B2","6","0800","HI","12","C022","04","","","2","0800","","F","Diagnosis Date"
"B","278-B2","6","1700","","","","","","","2","1700","3809","E","NM1*SJ*1*WATSON*SUSAN****34*987654321~"
"B","278-B2","6","1700","","","","","","","2","1700","4147","A","Patient Event Provider Name"
"B","278-B2","6","1700","","","","","","","2","1700","4222","","Required when valued on the notification and the notification is not valid at this level. If not required by this implementation guide, do not send."
"B","278-B2","6","1700","","","","","","","2","1700","4233","","Use this segment to return the name and/or identification number of the service provider (person, group, or facility) specialist, or specialty entity that was in error."
"C","278-B2","6","1700","NM1","01","","","","","2","1700","","F","Entity Identifier Code"
"C","278-B2","6","1700","NM1","02","","","","","2","1700","","F","Entity Type Qualifier"
"C","278-B2","6","1700","NM1","03","","","","","2","1700","3855","B","Service Provider Last or Organization Name"
"C","278-B2","6","1700","NM1","03","","","","","2","1700","4222","D","Required when valued on the notification and the notification is not valid at this level. If not required by this implementation guide, do not send."
"C","278-B2","6","1700","NM1","03","","","","","2","1700","","F","Patient Event Provider Last or Organization Name"
"C","278-B2","6","1700","NM1","04","","","","","2","1700","3856","B","Service Provider First Name"
"C","278-B2","6","1700","NM1","04","","","","","2","1700","4234","D","Required when NM103 is valued and NM102 = 1 and the Notification is not valid at this level. If not required by this implementation guide, do not send."
"C","278-B2","6","1700","NM1","04","","","","","2","1700","","F","Patient Event Provider First Name"
"C","278-B2","6","1700","NM1","05","","","","","2","1700","3857","B","Service Provider Middle Name"
"C","278-B2","6","1700","NM1","05","","","","","2","1700","4235","D","Required when NM104 is present and the Notification is not valid at this level. If not required by this implementation guide, do not send."
"C","278-B2","6","1700","NM1","05","","","","","2","1700","","F","Patient Event Provider Middle Name"
"C","278-B2","6","1700","NM1","06","","","","","2","1700","4236","D","Required when the Information Source uses military title or rank to further identify the individual provider and the Notification is not valid at this level. If not required by this implementation guide, do not send."
"C","278-B2","6","1700","NM1","06","","","","","2","1700","","F","Patient Event Provider Name Prefix"
"C","278-B2","6","1700","NM1","07","","","","","2","1700","3858","B","Service Provider Name Suffix"
"C","278-B2","6","1700","NM1","07","","","","","2","1700","4237","D","Required when the Information Source uses the name suffix to further identify the individual provider and the Notification is not valid at this level. If not required by this implementation guide, do not send."
"C","278-B2","6","1700","NM1","07","","","","","2","1700","","F","Patient Event Provider Name Suffix"
"C","278-B2","6","1700","NM1","08","","","","","2","1700","4222","D","Required when valued on the notification and the notification is not valid at this level. If not required by this implementation guide, do not send."
"C","278-B2","6","1700","NM1","08","","","","","2","1700","","F","Identification Code Qualifier"
"E","278-B2","6","1700","NM1","08","","","66","XX","2","1700","4251","","Required for providers on or after the mandated HIPAA National Provider Identifier (NPI) implementation date when the provider has an NPI and it is available to the UMO.
OR
Required for providers before the mandated HIPAA NPI implementation date when the provider has an NPI and the UMO has the capability to send it.<R><R> ;If not required by this implementation guide, do not send."
"C","278-B2","6","1700","NM1","09","","","","","2","1700","4222","D","Required when valued on the notification and the notification is not valid at this level. If not required by this implementation guide, do not send."
"C","278-B2","6","1700","NM1","09","","","","","2","1700","","F","Patient Event Provider Identifier"
"B","278-B2","6","1800","","","","","","","2","1800","3810","E","REF*1G*123456~"
"B","278-B2","6","1800","","","","","","","2","1800","4108","","Use the NM1 segment for the primary identifier."
"B","278-B2","6","1800","","","","","","","2","1800","4148","A","Patient Event Provider Supplemental Identification"
"B","278-B2","6","1800","","","","","","","2","1800","4238","","Required when used by the Information Receiver to identify the Patient Event Provider and the notification is not valid at this level. If not required by this implementation guide, do not send."
"C","278-B2","6","1800","REF","01","","","","","2","1800","","F","Reference Identification Qualifier"
"E","278-B2","6","1800","REF","01","","","128","EI","2","1800","3919","","Not used if NM108 = 24."
"E","278-B2","6","1800","REF","01","","","128","SY","2","1800","4020","","The social security number may not be used for Medicare. Not used if NM108 = 34."
"E","278-B2","6","1800","REF","01","","","128","ZH","2","1800","3938","","Use for the provider ID as assigned by the UMO identified in Loop 2000A."
"C","278-B2","6","1800","REF","02","","","","","2","1800","","F","Patient Event Provider Supplemental Identifier"
"C","278-B2","6","1800","REF","03","","","","","2","1800","4149","D","Required when REF01 = 0B to report the two character state ID of the state assigning the State License Number and the notification is not valid at this level. If not required by this implementation guide, do not send."
"C","278-B2","6","1800","REF","03","","","","","2","1800","","F","License Number State Code"
"B","278-B2","6","2300","","","","","","","2","2300","4009","E","AAA*N**43*C~"
"B","278-B2","6","2300","","","","","","","2","2300","4150","A","Patient Event Provider Request Validation"
"B","278-B2","6","2300","","","","","","","2","2300","4151","","Required when the notification is not valid at this level to indicate the data condition that prohibits processing of the notification, or information copy. If not required by this implementation guide, do not send."
"C","278-B2","6","2300","AAA","01","","","","","2","2300","","F","Valid Request Indicator"
"C","278-B2","6","2300","AAA","03","","","","","2","2300","4030","D","Required when AAA01 = ""N"". If not required by this implementation guide, do not send."
"C","278-B2","6","2300","AAA","03","","","","","2","2300","","F","Reject Reason Code"
"E","278-B2","6","2300","AAA","03","","","901","15","2","2300","4152","","Use when data is missing that is not covered by another reject reason code. Use to indicate when there is not enough information to identify the provider."
"E","278-B2","6","2300","AAA","03","","","901","33","2","2300","3943","","Use for input errors not covered by another reject reason code."
"E","278-B2","6","2300","AAA","03","","","901","52","2","2300","4153","","Use for patient event dates."
"E","278-B2","6","2300","AAA","03","","","901","79","2","2300","3944","","Use for invalid/missing service provider supplemental identifier."
"C","278-B2","6","2300","AAA","04","","","","","2","2300","4030","D","Required when AAA01 = ""N"". If not required by this implementation guide, do not send."
"C","278-B2","6","2300","AAA","04","","","","","2","2300","","F","Follow-up Action Code"
"B","278-B2","6","2400","","","","","","","2","2400","4122","E","PRV*PE*PXC*203BS0133X~"
"B","278-B2","6","2400","","","","","","","2","2400","4154","A","Patient Event Provider Information"
"B","278-B2","6","2400","","","","","","","2","2400","4239","","Required when used by the Information Receiver to identify the provider and the notification is not valid at this level. If not required by this implementation guide, do not send."
"C","278-B2","6","2400","PRV","01","","","","","2","2400","","F","Provider Code"
"E","278-B2","6","2400","PRV","01","","","1221","AD","2","2400","4155","","Use only when NM101 = AAJ."
"E","278-B2","6","2400","PRV","01","","","1221","AS","2","2400","4156","","Use only when NM101 = DD."
"E","278-B2","6","2400","PRV","01","","","1221","AT","2","2400","4157","","Use only when NM101 = 71."
"E","278-B2","6","2400","PRV","01","","","1221","OP","2","2400","4158","","Use only when NM101 = 72."
"E","278-B2","6","2400","PRV","01","","","1221","OR","2","2400","4159","","Use only when NM101 = DK."
"E","278-B2","6","2400","PRV","01","","","1221","OT","2","2400","4160","","Use only when NM101 = 73."
"E","278-B2","6","2400","PRV","01","","","1221","PC","2","2400","4161","","Use only when NM101 = P3."
"E","278-B2","6","2400","PRV","01","","","1221","PE","2","2400","4162","","Use only when NM101 = SJ."
"E","278-B2","6","2400","PRV","01","","","1221","RF","2","2400","4163","","Use only when NM101 = DN."
"C","278-B2","6","2400","PRV","02","","","","","2","2400","","F","Reference Identification Qualifier"
"C","278-B2","6","2400","PRV","03","","","","","2","2400","3970","B","Provider Specialty Code"
"C","278-B2","6","2400","PRV","03","","","","","2","2400","","F","Provider Taxonomy Code"
"B","278-B2","7","0100","","","","","","","2","0100","3811","E","HL*6*5*SS*0~"
"B","278-B2","7","0100","","","","","","","2","0100","3860","A","Service Level"
"B","278-B2","7","0100","","","","","","","2","0100","4164","","Required when the information receiver has detected errors at this level of the notification, or assigns a receipt number to each service level on the notification that it receives. If not required by this implementation guide, do not send."
"C","278-B2","7","0100","HL","01","","","","","2","0100","","F","Hierarchical ID Number"
"C","278-B2","7","0100","HL","02","","","","","2","0100","","F","Hierarchical Parent ID Number"
"C","278-B2","7","0100","HL","03","","","","","2","0100","","F","Hierarchical Level Code"
"C","278-B2","7","0100","HL","04","","","","","2","0100","","F","Hierarchical Child Code"
"B","278-B2","7","0200","","","","","","","2","0200","3895","A","Service Trace Number"
"B","278-B2","7","0200","","","","","","","2","0200","3945","E","TRN*2*111099*9012345678*RADIOLOGY~"
"B","278-B2","7","0200","","","","","","","2","0200","4224","","Required when this service level is returned and any trace numbers were provided at this level on the notification, or if the information receiver or clearinghouse assigns a trace number to this service in the acknowledgment for tracking purposes. If not required by this implementation guide, do not send."
"B","278-B2","7","0200","","","","","","","2","0200","4240","","Any trace numbers provided at this level on the notification must be returned by the information receiver at this level of the 278 notification."
"B","278-B2","7","0200","","","","","","","2","0200","4200","","If the 278 notification transaction passed through more than one clearinghouse, the second (and subsequent) clearinghouse may choose one of the following options: If the second or subsequent clearinghouse needs to assign their own TRN segment they may replace the received TRN segment belonging to the sending clearinghouse with their own TRN segment. Upon returning a 278 acknowledgment to the sending clearinghouse, they must remove their TRN segment and replace it with the sending clearinghouse's TRN segment. If the second or subsequent clearinghouse does not need to assign their own TRN segment, they should merely pass all TRN segments received in the 278 acknowledgment transaction."
"B","278-B2","7","0200","","","","","","","2","0200","4201","","If the 278 notification passed through a clearinghouse that adds their own TRN in addition to the information source's TRN, the clearinghouse will receive an acknowledgment from the information source containing two TRN segments that contain the value ""2"" (Referenced Transaction Trace Number) in TRN01. If the information source has assigned a TRN, the information source's TRN will contain the value ""1"" (Current Transaction Trace Number) in TRN01. If the clearinghouse chooses to pass their own TRN values to the acknowledgment's information receiver, the clearinghouse must change the value in their TRN01 to ""1"" because, from the information receiver's perspective, this is not a referenced transaction trace number."
"C","278-B2","7","0200","TRN","01","","","","","2","0200","","F","Trace Type Code"
"E","278-B2","7","0200","TRN","01","","","481","1","2","0200","4202","","The term ""Current Transaction Trace Number"" refers to the trace number assigned by the creator of the 278 acknowledgment transaction (the information source)."
"E","278-B2","7","0200","TRN","01","","","481","2","2","0200","4203","","The term ""Referenced Transaction Trace Number"" refers to the trace number originally sent in the 278 notification transaction."
"C","278-B2","7","0200","TRN","02","","","","","2","0200","","F","Service Trace Number"
"C","278-B2","7","0200","TRN","03","","","","","2","0200","3918","","The first position must be either a <169>1<170> if an EIN is used, a <169>3<170> if a DUNS is used or a <169>9<170> if a user assigned identifier is used."
"C","278-B2","7","0200","TRN","03","","","","","2","0200","4204","","Use this element to identify the entity that assigned this trace number. If TRN01 is ""1"", use this value to identify the information source of this acknowledgment transaction that assigned the trace number. If TRN01 is ""2"", this is the value received in the original 278 notification transaction."
"C","278-B2","7","0200","TRN","03","","","","","2","0200","","F","Trace Assigning Entity Identifier"
"C","278-B2","7","0200","TRN","04","","","","","2","0200","4193","D","Required when TRN01 = 2 and TRN04 was valued on the notification at the service level or if TRN01 = 1 and necessary to further identify a specific component, such as a specific division or group, of the company identified in the previous data element (TRN03). If not required by this implementation guide, do not send."
"C","278-B2","7","0200","TRN","04","","","","","2","0200","","F","Trace Assigning Entity Additional Identifier"
"B","278-B2","7","0300","","","","","","","2","0300","3949","E","AAA*N**52*C~"
"B","278-B2","7","0300","","","","","","","2","0300","4151","","Required when the notification is not valid at this level to indicate the data condition that prohibits processing of the notification, or information copy. If not required by this implementation guide, do not send."
"B","278-B2","7","0300","","","","","","","2","0300","4165","A","Service Request Validation"
"C","278-B2","7","0300","AAA","01","","","","","2","0300","","F","Valid Request Indicator"
"C","278-B2","7","0300","AAA","03","","","","","2","0300","","F","Reject Reason Code"
"E","278-B2","7","0300","AAA","03","","","901","15","2","0300","3950","","Use when data is missing that is not covered by another Reject Reason Code. For example, use for missing procedure codes and procedure dates."
"E","278-B2","7","0300","AAA","03","","","901","33","2","0300","3990","","Use for input errors in the service data not covered by the other reject reason codes listed. For example, use for invalid place of service codes and invalid procedure codes and procedure dates."
"E","278-B2","7","0300","AAA","03","","","901","T5","2","0300","3951","","Use to indicate missing previous certification number information."
"C","278-B2","7","0300","AAA","04","","","","","2","0300","","F","Follow-up Action Code"
"B","278-B2","7","0400","","","","","","","2","0400","3812","E","UM*SC*I*3~"
"B","278-B2","7","0400","","","","","","","2","0400","4166","","Required when necessary to identify the type of health care services review notification if different from the Patient Event level and the Service Level is returned in the acknowledgment. If not required by this implementation guide, do not send."
"B","278-B2","7","0400","","","","","","","2","0400","","A","Health Care Services Review Information"
"C","278-B2","7","0400","UM","01","","","","","2","0400","","F","Request Category Code"
"E","278-B2","7","0400","UM","01","","","1525","HS","2","0400","4225","","Required when this is an acknowledgment to a notification of services related to an episode of care."
"E","278-B2","7","0400","UM","01","","","1525","SC","2","0400","4226","","Required when this is an acknowledgment to a notification for referrals to a specialty provider."
"C","278-B2","7","0400","UM","02","","","","","2","0400","4167","D","Required when different from the UM02 value at the Patient Event level (Loop 2000E). If not required by this implementation guide, do not send."
"C","278-B2","7","0400","UM","02","","","","","2","0400","","F","Certification Type Code"
"E","278-B2","7","0400","UM","02","","","1322","1","2","0400","4033","","Use this value to identify appeals of review decisions where the level of service required is emergency or urgent."
"E","278-B2","7","0400","UM","02","","","1322","2","2","0400","4036","","Use this value to identify appeals of review decisions where the level of service is not emergency or urgent."
"E","278-B2","7","0400","UM","02","","","1322","4","2","0400","4168","","A <169>UM02 = 4<170> indicates that this is an extension request to a prior approved service."
"E","278-B2","7","0400","UM","02","","","1322","R","2","0400","4135","","Use this value to identify the various services, such as physical therapy, spinal manipulation, and allergy treatment, that have both a delivery pattern and a time span of authorization. Many UMOs place time limits - as in will not authorize anything for more than 30 days at a time. For example, blanket authorization for allergy treatments as required for 30 days. At the end of the 30 days, the provider must request to renew the certification - not extend it - because the UMO authorizes for 30 day intervals, one interval at a time."
"E","278-B2","7","0400","UM","02","","","1322","S","2","0400","4227","","Use if the Information Source is revising the specifics of a certification for which services have not been rendered. For example, the requester may be requesting additional procedures or other procedures for the same patient event."
"C","278-B2","7","0400","UM","03","","","","","2","0400","4022","D","Required when necessary to identify why a service type code was rejected at the service level if different from the UM03 value at the Patient Event level (Loop 2000E). If not required by this implementation guide, do not send."
"C","278-B2","7","0400","UM","03","","","","","2","0400","","F","Service Type Code"
"C","278-B2","7","0400","UM","04","","","","","2","0400","4241","D","Required when valued on the request and used by the UMO to render a medical decision. If not required by this implementation guide, do not send."
"D","278-B2","7","0400","UM","04","C023","01","","","2","0400","4242","","Use to indicate a facility code value from the code source referenced in UM04-2."
"D","278-B2","7","0400","UM","04","C023","01","","","2","0400","","F","Facility Type Code"
"D","278-B2","7","0400","UM","04","C023","02","","","2","0400","","F","Facility Code Qualifier"
"B","278-B2","7","0500","","","","","","","2","0500","4109","","Required if this segment is valued on the notification and the notification contains a value in HCR02 and the service level is returned in the acknowledgment. If not required by this implementation guide, do not send."
"B","278-B2","7","0500","","","","","","","2","0500","4169","E","HCR*A1*20020713~"
"B","278-B2","7","0500","","","","","","","2","0500","4192","","If this segment is used, the values in HCR01 and HCR02 must echo the values contained in the same data elements of the notification."
"B","278-B2","7","0500","","","","","","","2","0500","","A","Health Care Services Review"
"C","278-B2","7","0500","HCR","01","","","","","2","0500","3861","B","Certification Action Code"
"C","278-B2","7","0500","HCR","01","","","","","2","0500","","F","Action Code"
"C","278-B2","7","0500","HCR","02","","","","","2","0500","4228","D","Required when this segment is valued on the notification and the notification contains a value in HCR03 and the service level is returned in the acknowledgment. If not required by this implementation guide, do not send."
"C","278-B2","7","0500","HCR","02","","","","","2","0500","","F","Review Identification Number"
"C","278-B2","7","0500","HCR","03","","","","","2","0500","4228","D","Required when this segment is valued on the notification and the notification contains a value in HCR03 and the service level is returned in the acknowledgment. If not required by this implementation guide, do not send."
"C","278-B2","7","0500","HCR","03","","","","","2","0500","","F","Review Decision Reason Code"
"C","278-B2","7","0500","HCR","04","","","","","2","0500","4229","D","Required when this segment is valued on the notification and the notification contains a value in HCR04 and the service level is returned in the acknowledgment. If not required by this implementation guide, do not send."
"C","278-B2","7","0500","HCR","04","","","","","2","0500","","F","Yes No Condition or Response Code"
"B","278-B2","7","0580","","","","","","","2","0600","4024","","Required when valued on the notification at the Service Level or if the information receiver has determined that this service level notification is a duplicate (AAA03 = 91) of a previously received service review notification that has an assigned certification number. If not required by this implementation guide, do not send."
"B","278-B2","7","0580","","","","","","","2","0600","4142","A","Previous Review Authorization Number"
"B","278-B2","7","0580","","","","","","","2","0600","4172","E","REF*BB*123A~"
"C","278-B2","7","0580","REF","01","","","","","2","0600","","F","Reference Identification Qualifier"
"C","278-B2","7","0580","REF","02","","","","","2","0600","","F","Previous Review Authorization Number"
"B","278-B2","7","0600","","","","","","","2","0600","4140","A","Administrative Reference Number"
"B","278-B2","7","0600","","","","","","","2","0600","4170","E","REF*NT*Y789~"
"B","278-B2","7","0600","","","","","","","2","0600","4171","","Required when the information receiver assigns a separate administrative reference number to acknowledge receipt of each service loop contained in a notification. If not required by this implementation guide, do not send."
"B","278-B2","7","0600","","","","","","","2","0600","4194","","This number can be used by the information Source on notifications when UM02 = 3, 4, R, S. to reference previous Acknowledgments."
"B","278-B2","7","0600","","","","","","","2","0600","4023","","This is the administrative number assigned by the Information Receiver in acknowledgment to the original notification associated with this service level. This is not the trace number assigned by the Information Receiver."
"C","278-B2","7","0600","REF","01","","","","","2","0600","","F","Reference Identification Qualifier"
"C","278-B2","7","0600","REF","02","","","","","2","0600","","F","Administrative Reference Number"
"B","278-B2","7","0700","","","","","","","2","0700","3815","E","DTP*472*D8*20050723~"
"B","278-B2","7","0700","","","","","","","2","0700","3862","A","Service Date"
"B","278-B2","7","0700","","","","","","","2","0700","4025","","Use this segment to indicate the service dates that prohibits the information receiver from accepting this notification."
"B","278-B2","7","0700","","","","","","","2","0700","4173","","Required when valued on the notification and the notification is not valid at this segment. If not required by this implementation guide, do not send."
"C","278-B2","7","0700","DTP","01","","","","","2","0700","","F","Date Time Qualifier"
"C","278-B2","7","0700","DTP","02","","","","","2","0700","","F","Date Time Period Format Qualifier"
"C","278-B2","7","0700","DTP","03","","","","","2","0700","","F","Proposed or Actual Service Date"
"B","278-B2","7","0780","","","","","","","2","0700","3967","E","DTP*102*D8*20050701~"
"B","278-B2","7","0780","","","","","","","2","0700","3968","A","Certification Issue Date"
"B","278-B2","7","0780","","","","","","","2","0700","4026","","Use this segment to indicate the certification issue dates that prohibits the information receiver from accepting this notification."
"B","278-B2","7","0780","","","","","","","2","0700","4173","","Required when valued on the notification and the notification is not valid at this segment. If not required by this implementation guide, do not send."
"C","278-B2","7","0780","DTP","01","","","","","2","0700","","F","Date Time Qualifier"
"C","278-B2","7","0780","DTP","02","","","","","2","0700","","F","Date Time Period Format Qualifier"
"C","278-B2","7","0780","DTP","03","","","","","2","0700","","F","Certification Issue Date"
"B","278-B2","7","0790","","","","","","","2","0700","3883","A","Certification Expiration Date"
"B","278-B2","7","0790","","","","","","","2","0700","3884","E","DTP*036*D8*20050731~"
"B","278-B2","7","0790","","","","","","","2","0700","4027","","Use this segment to indicate the certification expiration dates that prohibits the information receiver from accepting this notification."
